Date,Index,Inflation
1/1/1913,9.8,
2/1/1913,9.8,0
3/1/1913,9.8,0
4/1/1913,9.8,0
5/1/1913,9.7,-1.02
6/1/1913,9.8,1.03
7/1/1913,9.9,1.02
8/1/1913,9.9,0
9/1/1913,10,1.01
10/1/1913,10,0
11/1/1913,10.1,1
12/1/1913,10,-0.99
1/1/1914,10,0
2/1/1914,9.9,-1
3/1/1914,9.9,0
4/1/1914,9.8,-1.01
5/1/1914,9.9,1.02
6/1/1914,9.9,0
7/1/1914,10,1.01
8/1/1914,10.2,2
9/1/1914,10.2,0
10/1/1914,10.1,-0.98
11/1/1914,10.2,0.99
12/1/1914,10.1,-0.98
1/1/1915,10.1,0
2/1/1915,10,-0.99
3/1/1915,9.9,-1
4/1/1915,10,1.01
5/1/1915,10.1,1
6/1/1915,10.1,0
7/1/1915,10.1,0
8/1/1915,10.1,0
9/1/1915,10.1,0
10/1/1915,10.2,0.99
11/1/1915,10.3,0.98
12/1/1915,10.3,0
1/1/1916,10.4,0.97
2/1/1916,10.4,0
3/1/1916,10.5,0.96
4/1/1916,10.6,0.95
5/1/1916,10.7,0.94
6/1/1916,10.8,0.93
7/1/1916,10.8,0
8/1/1916,10.9,0.93
9/1/1916,11.1,1.83
10/1/1916,11.3,1.8
11/1/1916,11.5,1.77
12/1/1916,11.6,0.87
1/1/1917,11.7,0.86
2/1/1917,12,2.56
3/1/1917,12,0
4/1/1917,12.6,5
5/1/1917,12.8,1.59
6/1/1917,13,1.56
7/1/1917,12.8,-1.54
8/1/1917,13,1.56
9/1/1917,13.3,2.31
10/1/1917,13.5,1.5
11/1/1917,13.5,0
12/1/1917,13.7,1.48
1/1/1918,14,2.19
2/1/1918,14.1,0.71
3/1/1918,14,-0.71
4/1/1918,14.2,1.43
5/1/1918,14.5,2.11
6/1/1918,14.7,1.38
7/1/1918,15.1,2.72
8/1/1918,15.4,1.99
9/1/1918,15.7,1.95
10/1/1918,16,1.91
11/1/1918,16.3,1.88
12/1/1918,16.5,1.23
1/1/1919,16.5,0
2/1/1919,16.2,-1.82
3/1/1919,16.4,1.23
4/1/1919,16.7,1.83
5/1/1919,16.9,1.2
6/1/1919,16.9,0
7/1/1919,17.4,2.96
8/1/1919,17.7,1.72
9/1/1919,17.8,0.56
10/1/1919,18.1,1.69
11/1/1919,18.5,2.21
12/1/1919,18.9,2.16
1/1/1920,19.3,2.12
2/1/1920,19.5,1.04
3/1/1920,19.7,1.03
4/1/1920,20.3,3.05
5/1/1920,20.6,1.48
6/1/1920,20.9,1.46
7/1/1920,20.8,-0.48
8/1/1920,20.3,-2.4
9/1/1920,20,-1.48
10/1/1920,19.9,-0.5
11/1/1920,19.8,-0.5
12/1/1920,19.4,-2.02
1/1/1921,19,-2.06
2/1/1921,18.4,-3.16
3/1/1921,18.3,-0.54
4/1/1921,18.1,-1.09
5/1/1921,17.7,-2.21
6/1/1921,17.6,-0.56
7/1/1921,17.7,0.57
8/1/1921,17.7,0
9/1/1921,17.5,-1.13
10/1/1921,17.5,0
11/1/1921,17.4,-0.57
12/1/1921,17.3,-0.57
1/1/1922,16.9,-2.31
2/1/1922,16.9,0
3/1/1922,16.7,-1.18
4/1/1922,16.7,0
5/1/1922,16.7,0
6/1/1922,16.7,0
7/1/1922,16.8,0.6
8/1/1922,16.6,-1.19
9/1/1922,16.6,0
10/1/1922,16.7,0.6
11/1/1922,16.8,0.6
12/1/1922,16.9,0.6
1/1/1923,16.8,-0.59
2/1/1923,16.8,0
3/1/1923,16.8,0
4/1/1923,16.9,0.6
5/1/1923,16.9,0
6/1/1923,17,0.59
7/1/1923,17.2,1.18
8/1/1923,17.1,-0.58
9/1/1923,17.2,0.58
10/1/1923,17.3,0.58
11/1/1923,17.3,0
12/1/1923,17.3,0
1/1/1924,17.3,0
2/1/1924,17.2,-0.58
3/1/1924,17.1,-0.58
4/1/1924,17,-0.58
5/1/1924,17,0
6/1/1924,17,0
7/1/1924,17.1,0.59
8/1/1924,17,-0.58
9/1/1924,17.1,0.59
10/1/1924,17.2,0.58
11/1/1924,17.2,0
12/1/1924,17.3,0.58
1/1/1925,17.3,0
2/1/1925,17.2,-0.58
3/1/1925,17.3,0.58
4/1/1925,17.2,-0.58
5/1/1925,17.3,0.58
6/1/1925,17.5,1.16
7/1/1925,17.7,1.14
8/1/1925,17.7,0
9/1/1925,17.7,0
10/1/1925,17.7,0
11/1/1925,18,1.69
12/1/1925,17.9,-0.56
1/1/1926,17.9,0
2/1/1926,17.9,0
3/1/1926,17.8,-0.56
4/1/1926,17.9,0.56
5/1/1926,17.8,-0.56
6/1/1926,17.7,-0.56
7/1/1926,17.5,-1.13
8/1/1926,17.4,-0.57
9/1/1926,17.5,0.57
10/1/1926,17.6,0.57
11/1/1926,17.7,0.57
